1Zn11I22C72-1,0.018,0.000300069,2.431424985
1As12Br12Te12Mo19S38-1,1.122,1.58038944,1.237282246
1As12Br12Te12W19S38-1,0.456,1.533624078,1.237282246
1Cl12Sb12Te12Mo19Se38-1,0.086,1.321438186,1.254939468
1Cl12Sb12Te12W19Se38-1,0.0,1.237876337,1.254939468
1Cl12Sb12Se12B31N31-1,0.403,4.666851528,1.17164036
1Mo12W13Se24S26-1,1.309,1.321438186,1.533624078
1Pt12Mo13Se24Te26-1,0.757,0.93183334,1.166654501
1W12Mo13Se24S26-1,0.658,1.58038944,1.237876337
1Mo12W19Te24O38-1,0.0,0.93183334,1.340382481
1Pb12Mo19Br24Te38-1,0.0,0.93183334,2.004139519
1Pb12W19Br24Te38-1,0.0,0.727112918,2.004139519
1Cd12Br24B31N31-1,1.919,4.666851528,3.069156178
1Br13Sb13Te13Mo21Se42-1,0.266,1.321438186,1.051692278
1Br13Sb13Te13W21Se42-1,0.007,1.237876337,1.051692278
1As13Cl13Se13H24Si24-1,0.018,2.171198904,1.37343953
1As13Cl13Te13B31N31-1,1.597,4.666851528,1.478712992
1As13Cl13Se13C56H56-1,0.524,3.460110743,1.37343953
1Cl13Sb13Te13C74-1,0.0,0.000300069,1.254939468
1As13Cl13Mo16Te45-1,0.896,0.93183334,1.478712992
1Br13Sb13In24Te37-1,0.746,1.232646978,1.051692278
2Ga13S13C27H27-1,0.813,3.460110743,2.179815807
2Ga13S13C27H27-2,0.851,3.460110743,2.320546163
2Ga13S13C28-1,0.251,0.000300069,2.179815807
2Ga13Se13C31-1,0.259,0.000300069,1.643848945
1Sb13Se13Pt32Cl45-1,0.345,1.307933334,1.17164036
1Mo13In14Te14S26-1,0.857,1.58038944,1.232646978
1Cd13Mo16Cl26Te32-1,0.694,0.93183334,3.868284768
1Mo13W16Te26S32-1,0.901,0.93183334,1.533624078
2Te13S16In29-2,0.689,1.232646978,1.604270826
1Mo13Ga18Se18S26-1,1.313,1.58038944,1.764606828
1Mo13Ga18Se18S26-2,1.268,1.58038944,1.643848945
1W13Ga18Se18S26-1,1.579,1.533624078,1.764606828
1W13Ga18Se18S26-2,1.498,1.533624078,1.643848945
1Ca13Mo21I26Te42-1,0.957,0.93183334,3.537080409
1Ca13W21I26Te42-1,0.789,0.727112918,3.537080409
1Sn13W21I26Te42-1,0.504,0.727112918,1.83661838
1Mo13Cl24Pt24Te26-1,0.442,0.93183334,1.307933334
1Mo13Ga24S24Te26-1,0.824,0.93183334,2.179815807
1Mo13Ga24S24Te26-2,0.877,0.93183334,2.320546163
1Pt13In24S24Se26-1,0.949,1.166654501,1.675147054
1Pt13In24S24Se26-2,0.932,1.166654501,1.604270826
1W13Cl24Pt24Te26-1,0.157,0.727112918,1.307933334
1W13Ga24S24Te26-2,0.551,0.727112918,2.320546163
2Zn13W24I26Se48-1,1.272,1.237876337,2.431424985
1Mo13B25N25Te26-1,1.033,4.666851528,0.93183334
1W13B25N25Te26-1,0.871,4.666851528,0.727112918
1Pb13Mo25Br26S50-1,0.949,1.58038944,2.004139519
1Pb13Mo25I26Se50-1,0.482,1.321438186,1.49944992
1Pb13W25Br26S50-1,0.594,1.533624078,2.004139519
1Pb13W25I26Se50-1,0.109,1.237876337,1.49944992
1Mo13S26C42-1,0.0,0.000300069,1.58038944
1Pb13I26B43N43-1,1.194,4.666851528,1.49944992
1Mo13Te26C50H50-1,0.972,0.93183334,3.460110743
1Mo13Te26C54-1,0.001,0.000300069,0.93183334
1Mg13I26C74-1,0.0,0.000300069,3.272822082
1Sn13I26C86-1,0.261,0.000300069,1.83661838
2Mo14H19Si19S28-1,0.831,1.58038944,2.171198904
2Mo14In19S47-1,1.431,1.58038944,1.604270826
2W14In19S47-1,1.147,1.533624078,1.604270826
2Pb14I28H39Si39-1,0.459,2.171198904,1.49944992
1As16Cl16Te16Mo25S50-1,0.47,1.58038944,1.478712992
1As16Br16Te16B39N39-1,1.032,4.666851528,1.237282246
2In16S16Cl19Pt19-2,1.122,1.307933334,1.604270826
2H16Si16C39-1,0.0,0.000300069,2.171198904
2In16S16C39-1,0.0,0.000300069,1.675147054
1Zr16W19Se32Te38-1,0.0,0.727112918,0.336549777
1Ge16Mo27I32Se54-1,1.279,1.321438186,1.953958364
1Cl18Pt18B19N19-1,1.322,4.666851528,1.307933334
1Ga18S18B19N19-1,1.936,4.666851528,2.179815807
1Ga18S18B19N19-2,1.981,4.666851528,2.320546163
1As19Cl19Se19Mo21Te42-1,0.003,0.93183334,1.37343953
1As19Cl19Se19W21Te42-1,0.278,0.727112918,1.37343953
1As19Cl19Te19Pt21Se42-1,0.151,1.166654501,1.478712992
1As19Cl19Se19Mo27S54-1,1.199,1.58038944,1.37343953
1As19Cl19Se19W27S54-1,0.126,1.533624078,1.37343953
1Cl19Sb19Se19In32Te32-1,0.149,1.232646978,1.17164036
1Cl19Sb19Se19W39O78-1,0.789,1.340382481,1.17164036
1As19Cl19Te19C96-1,0.0,0.000300069,1.478712992
1Cl19Sb19Se19C96H96-1,0.0,3.460110743,1.17164036
1As19Br19In32Te51-1,0.333,1.232646978,1.237282246
2Te19Mo20Se21-1,0.851,1.321438186,0.93183334
2Te19W20Se21-1,0.738,1.237876337,0.727112918
1Hf19W21Se38Te42-1,0.0,0.727112918,0.426561525
1Mo19W21Te38Se42-1,0.971,0.93183334,1.237876337
1W19Mo21Te38Se42-1,0.524,1.321438186,0.727112918
1W19In24Se24S38-1,1.388,1.533624078,1.404067454
1W19H26Si26S38-1,1.131,1.533624078,2.171198904
1Mo19In26Se64-1,1.162,1.321438186,1.404067454
1W19In26S64-1,1.197,1.533624078,1.675147054
1Hf19W27Se38S54-1,0.352,1.533624078,0.426561525
1Pt19Mo27Se38S54-1,1.053,1.58038944,1.166654501
2Zn19W31I38Te62-1,0.809,0.727112918,2.431424985
1Mo19Ga32Se32Te38-1,0.874,0.93183334,1.764606828
1W19Ga32Se32Te38-1,0.551,0.727112918,1.764606828
1W19Ga32Se32Te38-2,0.488,0.727112918,1.643848945
1Pt19In32Se70-1,1.032,1.166654501,1.404067454
1Ca19I38Mo39S78-1,1.668,1.58038944,3.537080409
1Zn20Mo39I40S78-1,1.478,1.58038944,2.431424985
1Zn20W39I40S78-1,1.601,1.533624078,2.431424985
1Br21Sb21Te21C122-1,0.0,0.000300069,1.051692278
1Mo21In26Se26S42-1,1.351,1.58038944,1.404067454
1In24Se24B31N31-1,1.519,4.666851528,1.404067454
1Se24W25S26-1,0.981,1.533624078,1.237876337
1As25Br25Te25Pt28Se56-1,0.883,1.166654501,1.237282246
1As25Cl25Te25W37S74-1,1.423,1.533624078,1.478712992
1Cl25Sb25Zr28Se81-1,0.015,0.336549777,1.17164036
1Pb25Mg28Br50I56-1,1.383,3.272822082,2.004139519
1W25In32Te82-1,0.513,0.727112918,1.232646978
1Ca25W49I50S98-1,1.61,1.533624078,3.537080409
1Pb25Br50Cl74Pt74-1,0.77,1.307933334,2.004139519
1H26Si26B31N31-1,2.287,4.666851528,2.171198904
1In26S26B31N31-1,1.37,4.666851528,1.675147054
1Zn26Pb27I52Br54-1,0.796,2.431424985,2.004139519
1Te26W29S32-1,0.59,1.533624078,0.727112918
1As27Br27Te27H56Si56-1,0.175,2.171198904,1.237282246
1Cl27Sb27Te27H62Si62-1,0.009,2.171198904,1.254939468
2H27Si27Ga28Se28-1,1.273,2.171198904,1.764606828
2H27Si27Ga28Se28-2,1.21,2.171198904,1.643848945
2H27Si27Ga31S31-1,1.288,2.171198904,2.179815807
1Cl27Sb27Hf31Se89-1,0.277,0.426561525,1.17164036
1Cl27Sb27Pt31Se89-1,0.142,1.166654501,1.17164036
2Te27Se31In58-1,0.82,1.232646978,1.404067454
1Cd27Mo37Cl54Se74-1,1.201,1.321438186,3.868284768
1Cd27W37Cl54Se74-1,0.819,1.237876337,3.868284768
1Mo27H38Si38Se54-1,1.405,1.321438186,2.171198904
1Mo27In38S38Se54-1,0.726,1.321438186,1.675147054
1Mo27In38S38Se54-2,0.7,1.321438186,1.604270826
1W27H38Si38Se54-1,1.263,1.237876337,2.171198904
1W27In38S38Se54-1,0.376,1.237876337,1.675147054
1W27In38S38Se54-2,0.358,1.237876337,1.604270826
1Pb28Pt43I56Se86-1,0.505,1.166654501,1.49944992
1In2Te2B3N3-1,1.303,4.666851528,1.232646978
2Mo2Cl3Pt3S4-1,1.249,1.58038944,1.307933334
2W2Cl3Pt3S4-1,1.113,1.533624078,1.307933334
2W2In3Se3Te4-1,0.261,0.727112918,1.404067454
2Mo2Ga3S7-2,1.63,1.58038944,2.320546163
2Mo2Ga3Se7-1,1.372,1.321438186,1.764606828
2Mo2Ga3Se7-2,1.326,1.321438186,1.643848945
2W2Ga3S7-1,1.522,1.533624078,2.179815807
2W2Ga3S7-2,1.576,1.533624078,2.320546163
2W2Ga3Se7-1,1.045,1.237876337,1.764606828
2W2Ga3Se7-2,0.983,1.237876337,1.643848945
2Ca2I4C13-1,0.26,0.000300069,3.537080409
2Pb2Br4C13-1,0.0,0.000300069,2.004139519
2Pb2I4C13H13-1,0.092,3.460110743,1.49944992
2Mo2Se4C7-1,0.001,0.000300069,1.321438186
2W2Se4C7-1,0.001,0.000300069,1.237876337
1As3Cl3Se3C14-1,0.0,0.000300069,1.37343953
1Cl3Sb3Se3Mo4Te8-1,0.0,0.93183334,1.17164036
2Ga3Se3C7-1,0.0,0.000300069,1.764606828
2In3S3C7H7-2,0.324,3.460110743,1.604270826
1Sb3Te3Pt8Cl11-1,0.492,1.307933334,1.254939468
1Hf3Mo4Se14-1,0.259,1.321438186,0.426561525
1Hf3W4Se14-1,0.0,1.237876337,0.426561525
1Zr3Mo4Se14-1,0.173,1.321438186,0.336549777
1Zr3W4Se14-1,0.0,1.237876337,0.336549777
1Cd3Mo4Br6Te8-1,0.836,0.93183334,3.069156178
1Cd3W4Br6Te8-1,0.5,0.727112918,3.069156178
1Mo3W4Se6O8-1,0.08,1.321438186,1.340382481
1Pt3W4Se6S8-1,1.041,1.533624078,1.166654501
1Hf3Se6C14-1,0.0,0.000300069,0.426561525
1Pt3Se6C14-1,0.001,0.000300069,1.166654501
1Cd3Cl6C14H14-1,0.638,3.460110743,3.868284768
1Cd3Cl6B7N7-1,1.853,4.666851528,3.868284768
1W3O6C8-1,0.0,0.000300069,1.340382481
1Br4Sb4Te4W7S14-1,0.505,1.533624078,1.051692278
1Cl4Sb4Te4Mo7S14-1,1.166,1.58038944,1.254939468
1Cl4Sb4Te4W7S14-1,0.237,1.533624078,1.254939468
1As4Cl4Se4B9N9-1,1.35,4.666851528,1.37343953
1Mo4B7N7Se8-1,1.317,4.666851528,1.321438186
1W4B7N7Se8-1,1.262,4.666851528,1.237876337
1Mg4Mo7I8S14-1,1.658,1.58038944,3.272822082
1Mg4W7I8S14-1,1.642,1.533624078,3.272822082
1Ca4I8B13N13-1,3.012,4.666851528,3.537080409
1Sn4I8B13N13-1,1.879,4.666851528,1.83661838
1Pt4Se8B9N9-1,1.17,4.666851528,1.166654501
2Cd6Br12H13Si13-1,1.19,2.171198904,3.069156178
2W6S12C19H19-1,0.872,1.533624078,3.460110743
2As6Se6Pt13Cl19-1,1.211,1.307933334,1.37343953
2Cl6Sb6Se6H13Si13-1,0.0,2.171198904,1.17164036
2As6Br6Te6C31-1,0.257,0.000300069,1.237282246
1Ga6Se6B7N7-1,1.715,4.666851528,1.764606828
1Ga6Se6B7N7-2,1.631,4.666851528,1.643848945
1Ge7W12I14Se24-1,0.83,1.237876337,1.953958364
1Pb7W12I14Te24-1,0.018,0.727112918,1.49944992
1Ca7W13I14Se26-1,1.277,1.237876337,3.537080409
1Pb7W13Br14Se26-1,0.0,1.237876337,2.004139519
1Sn7Mo13I14Se26-1,1.245,1.321438186,1.83661838
1Sn7W13I14Se26-1,0.883,1.237876337,1.83661838
1Pb7Br14H18Si18-1,0.257,2.171198904,2.004139519
1Mo7Se14C24H24-1,0.939,1.321438186,3.460110743
1W7Se14C24H24-1,1.247,1.237876337,3.460110743
2In7Se7C19-1,0.238,0.000300069,1.404067454
1Cl7Sb7Te7B19N19-1,1.35,4.666851528,1.254939468
1Br7Sb7Te7Pt9Se18-1,0.335,1.166654501,1.051692278
1Cl7Sb7Te7Pt9Se18-1,0.073,1.166654501,1.254939468
1As7Br7Mo9Te25-1,0.0,0.93183334,1.237282246
1As7Br7W9Te25-1,0.0,0.727112918,1.237282246
1As7Cl7W9Se25-1,0.53,1.237876337,1.37343953
2In7Se7Cl9Pt9-1,1.236,1.307933334,1.404067454
1W7In8Te8Se14-1,0.982,1.237876337,1.232646978
2S7W8O9-1,0.447,1.533624078,1.340382481
1W7B9N9O14-1,0.588,4.666851528,1.340382481
2Mo8Cl13Pt13Se16-1,0.845,1.321438186,1.307933334
2Mo8Ga13S13Se16-1,1.273,1.321438186,2.179815807
2Mo8Ga13S13Se16-2,1.335,1.321438186,2.320546163
2Mo8H13Si13Te16-1,0.983,0.93183334,2.171198904
2Mo8In13S13Te16-1,0.382,0.93183334,1.675147054
2Mo8In13S13Te16-2,0.365,0.93183334,1.604270826
2W8Cl13Pt13Se16-1,0.493,1.237876337,1.307933334
2W8Ga13S13Se16-1,0.918,1.237876337,2.179815807
2W8In13S13Te16-1,0.063,0.727112918,1.675147054
2Ge8I16H19Si19-1,1.406,2.171198904,1.953958364
2Cd8Cl16C39-1,0.0,0.000300069,3.868284768
2As8Cl8In13Te21-1,0.165,1.232646978,1.478712992
2As8Te8Pt19Cl27-1,1.166,1.307933334,1.478712992
2As8Br8Te8Cl19Pt19-1,0.93,1.307933334,1.237282246
1Cd9Mo13Br18Se26-1,1.343,1.321438186,3.069156178
1Cd9W13Br18Se26-1,1.077,1.237876337,3.069156178
1Cd9W13Cl18S26-1,1.568,1.533624078,3.868284768
1Ge9Mo13I18Te26-1,0.955,0.93183334,1.953958364
1Ge9W13I18Te26-1,0.632,0.727112918,1.953958364
1Hf9Mo13Se18S26-1,0.391,1.58038944,0.426561525
1Mg9Mo13I18Te26-1,1.004,0.93183334,3.272822082
1Zr9Mo13Se18S26-1,0.239,1.58038944,0.336549777
1Zr9W13Se18S26-1,0.261,1.533624078,0.336549777
1Ge9Mo16I18S32-1,1.478,1.58038944,1.953958364
1Pb9Mo16Br18Se32-1,0.307,1.321438186,2.004139519
1Pb9I18W19S38-1,0.717,1.533624078,1.49944992
1Pb9Br18B28N28-1,0.91,4.666851528,2.004139519
1Pb9I18C62-1,0.0,0.000300069,1.49944992
1Br9Sb9Mo13Te35-1,0.0,0.93183334,1.051692278
1Br9Sb9W13Te35-1,0.0,0.727112918,1.051692278
1Cl9Sb9Mo13Se35-1,0.065,1.321438186,1.17164036
1Cl9Sb9W13Se35-1,0.38,1.237876337,1.17164036
2Cl9Pt9C19-1,0.238,0.000300069,1.307933334
2Ga9S9C19-1,0.247,0.000300069,2.320546163
2In9Te9C28-1,0.25,0.000300069,1.232646978
1As9Br9Te9Mo13Se26-1,1.194,1.321438186,1.237282246
1As9Br9Te9W13Se26-1,0.852,1.237876337,1.237282246
1As9Cl9Te9W13Se26-1,0.76,1.237876337,1.478712992
3CdCl2H2Si2-1,1.087,2.171198904,3.868284768
1GeI2C6-1,0.001,0.000300069,1.953958364
1PbBr2C6H6-1,0.0,3.460110743,2.004139519
1BNC2-1,0.251,4.666851528,0.000300069
1BNC2H2-1,3.354,4.666851528,3.460110743
3CaPbBr2I2-1,1.365,3.537080409,2.004139519
1MoWS4-1,1.267,1.58038944,1.533624078
1MoWTe4-1,0.643,0.93183334,0.727112918
3AsClTeH2Si2-1,1.345,2.171198904,1.478712992
3AsClPtSe3-1,0.225,1.166654501,1.37343953
