Band gap,j_twist_angle,j_num_atoms,j_max_strain,j_interlayer_distance,mono_name1,mono_name2,mat_name,l_a,l_b,l_c,l_alpha,l_beta,l_gamma
0.018,7.763,105,0.967,5.305,2C-1,1ZnI2-1,1Zn11I22C72-1,13.061955588684702,14.9960861881598,21.268043495312167,90.0,90.0,104.46415160408773
1.122,6.588,93,0.494,6.701,1MoS2-1,1AsBrTe-1,1As12Br12Te12Mo19S38-1,13.777336236877671,13.777451484874604,24.460037397354142,90.0,90.0,119.99963854009874
0.456,6.591,93,0.705,6.625,1WS2-1,1AsBrTe-1,1As12Br12Te12W19S38-1,13.806342103130856,13.806357654002086,24.476632568924984,90.0,90.0,119.99991003919648
1.024,6.588,93,0.447,6.526,1MoS2-1,1ClSbSe-1,1Cl12Sb12Se12Mo19S38-1,13.820060222867806,13.820058241222146,24.39672007349828,90.0,90.0,119.99949144247657
0.238,6.586,93,0.252,6.521,1WS2-1,1ClSbSe-1,1Cl12Sb12Se12W19S38-1,13.847259075697185,13.84727340763507,24.41331524506912,90.0,90.0,119.99970524909065
0.086,6.589,93,0.533,6.663,1MoSe2-1,1ClSbTe-1,1Cl12Sb12Te12Mo19Se38-1,14.390158439042382,14.39039888516784,24.68123399553508,90.0,90.0,119.99934820416043
0.0,6.591,93,0.605,6.672,1WSe2-1,1ClSbTe-1,1Cl12Sb12Te12W19Se38-1,14.379704306819095,14.379700470610155,24.705102979756283,90.0,90.0,119.99995178499762
0.403,21.055,98,0.558,5.027,1BN-1,1ClSbSe-1,1Cl12Sb12Se12B31N31-1,13.959569759442887,13.959584958481768,21.262202980098785,90.0,90.0,119.9997459433466
0.867,16.102,100,0.053,7.187,2HSi-1,2InSe-1,2In12Se12H13Si13-1,14.012812032859511,14.012812034877669,27.08528599729044,90.0,90.0,120.00000709446306
1.309,16.102,75,0.152,6.608,1MoSe2-1,1WS2-1,1Mo12W13Se24S26-1,11.432209091713105,11.432205948935268,24.499084260833012,90.0,90.0,120.0000303720122
0.757,16.101,75,0.956,6.593,1MoTe2-1,1PtSe2-1,1Pt12Mo13Se24Te26-1,12.791153220576327,12.792255224645057,24.27829485728198,90.0,90.0,119.99060754622505
0.448,16.102,75,0.898,6.6,1WTe2-1,1PtSe2-1,1Pt12W13Se24Te26-1,12.781989008851642,12.782556268492682,24.29695443463684,90.0,90.0,119.99846609203236
0.658,16.102,75,0.039,6.627,1MoS2-1,1WSe2-1,1W12Mo13Se24S26-1,11.410614827068704,11.410613592890519,24.50635807348338,90.0,90.0,119.99997168365583
1.662,6.587,74,0.178,5.018,1BN-1,1MoS2-1,1Mo12B19N19S24-1,10.947695777468166,10.947765351660522,21.134517093399495,90.0,90.0,119.99962453265243
1.641,6.587,74,0.349,5.032,1BN-1,1WS2-1,1W12B19N19S24-1,10.957929797369882,10.957935769642235,21.151112264970337,90.0,90.0,119.99992978600639
1.642,6.588,93,0.356,6.559,1MoS2-1,1CdBr2-1,1Cd12Mo19Br24S38-1,13.814843895711995,13.814850831161085,24.31906545451688,90.0,90.0,119.99944133466504
1.624,6.587,93,0.155,6.572,1WS2-1,1CdBr2-1,1Cd12W19Br24S38-1,13.842758979043714,13.842817772365903,24.335660626087723,90.0,90.0,119.99981346396167
1.368,6.588,93,0.359,7.018,1MoSe2-1,1MgI2-1,1Mg12Mo19I24Se38-1,14.379252900251037,14.379325317012839,24.72073016639783,90.0,90.0,119.99869683315987
1.293,6.589,93,0.428,7.038,1WSe2-1,1MgI2-1,1Mg12W19I24Se38-1,14.369254112343288,14.369417850059445,24.744599150619035,90.0,90.0,119.99848399346229
0.0,6.59,93,0.905,6.259,1MoTe2-1,1WO2-1,1Mo12W19Te24O38-1,12.284231734831584,12.285063339461708,24.102126141541984,90.0,90.0,119.99644783336808
0.0,6.586,93,0.183,7.128,1MoTe2-1,1PbBr2-1,1Pb12Mo19Br24Te38-1,15.329753089313547,15.3298497565437,25.015656438354394,90.0,90.0,119.99925633617056
0.0,6.587,93,0.21,7.131,1WTe2-1,1PbBr2-1,1Pb12W19Br24Te38-1,15.325514402654452,15.325522552409124,25.034316015709255,90.0,90.0,119.99982606014544
1.919,21.053,98,0.678,5.101,1BN-1,1CdBr2-1,1Cd12Br24B31N31-1,13.957992427442784,13.957990784195195,21.184548361117383,90.0,90.0,119.99998769202487
0.263,16.101,74,0.791,4.133,2C-1,2CH-1,2H12C25-1,8.850811242480777,8.851252908345154,20.679300248679944,90.0,90.0,119.99503552515228
0.266,3.005,102,0.375,6.863,1MoSe2-1,1BrSbTe-1,1Br13Sb13Te13Mo21Se42-1,15.119817028727235,15.119953266366108,24.87016655499893,90.0,90.0,119.9985514559858
0.007,3.005,102,0.444,6.879,1WSe2-1,1BrSbTe-1,1Br13Sb13Te13W21Se42-1,15.109386984851964,15.109520362496017,24.89403553922014,90.0,90.0,119.99848913802195
0.018,16.102,87,0.009,5.994,2HSi-1,1AsClSe-1,1As13Cl13Se13H24Si24-1,13.471464917686054,13.471464917825461,24.82649485787539,90.0,90.0,120.00000000109956
1.597,4.955,101,0.729,5.214,1BN-1,1AsClTe-1,1As13Cl13Te13B31N31-1,13.988109922013393,13.988116768957745,21.16828574941818,90.0,90.0,119.99987450902147
0.524,5.208,151,0.337,5.63,2CH-1,1AsClSe-1,1As13Cl13Se13C56H56-1,13.427319356066953,13.42739346333015,23.776341735909938,90.0,90.0,119.9984038092104
0.0,11.39,113,0.339,5.051,2C-1,1ClSbTe-1,1Cl13Sb13Te13C74-1,15.007115707944813,15.007122986914846,21.333262031925862,90.0,90.0,119.99984394203453
0.896,13.898,87,0.147,7.17,1MoTe2-1,1AsClTe-1,1As13Cl13Mo16Te45-1,14.07027495232533,14.070360927829558,24.793230897824422,90.0,90.0,119.99915156819382
0.567,13.898,87,0.173,7.175,1WTe2-1,1AsClTe-1,1As13Cl13W16Te45-1,14.066616418705149,14.066627353273635,24.811890475179283,90.0,90.0,119.99982597953353
0.746,16.103,87,0.529,8.189,2InTe-1,1BrSbTe-1,1Br13Sb13In24Te37-1,15.09626184493559,15.096275884392387,27.07108882562102,90.0,90.0,119.99988009782646
0.152,16.102,87,0.074,7.889,2InTe-1,1ClSbTe-1,1Cl13Sb13In24Te37-1,15.047037624847466,15.047043131004282,26.88215626615716,90.0,90.0,119.9999879022349
0.813,16.102,160,0.317,6.41,2CH-1,2GaS-2,2Ga13S13C27H27-1,13.154942017659057,13.155180485004246,25.31812784825069,90.0,90.0,119.9981528515528
0.851,16.102,160,0.499,6.414,2CH-1,2GaS-1,2Ga13S13C27H27-2,13.142023656541635,13.142469477156629,25.331045445322125,90.0,90.0,119.9958018322144
0.251,5.208,108,0.394,5.791,2C-1,2GaS-2,2Ga13S13C28-1,13.062451098671849,13.062455451846525,22.638827664077663,90.0,90.0,119.99965787753153
0.259,4.949,114,0.178,5.926,2C-1,2GaSe-2,2Ga13Se13C31-1,13.736053784239209,13.736070681166057,22.78485219273297,90.0,90.0,119.99983704408697
0.345,13.896,103,0.208,6.985,2ClPt-1,1ClSbSe-1,1Sb13Se13Pt32Cl45-1,14.41899635452301,14.420042880442214,25.485291717988915,90.0,90.0,119.99502538494254
0.857,5.208,67,0.443,7.819,1MoS2-1,2InTe-1,1Mo13In14Te14S26-1,11.433041311016042,11.433152364094248,26.683411359884257,90.0,90.0,119.99876630163803
1.148,5.209,67,0.251,7.832,1WS2-1,2InTe-1,1W13In14Te14S26-1,11.455063376036547,11.455064980411583,26.700006531455095,90.0,90.0,119.99995132922278
0.694,13.898,87,0.576,6.834,1MoTe2-1,1CdCl2-1,1Cd13Mo16Cl26Te32-1,14.011878898959969,14.01358442121263,24.526082308905085,90.0,90.0,119.99115371311369
0.358,13.894,87,0.59,6.835,1WTe2-1,1CdCl2-1,1Cd13W16Cl26Te32-1,14.013616742317511,14.014807180699247,24.544741886259946,90.0,90.0,119.98775289070332
0.901,13.898,87,0.125,6.898,1MoTe2-1,1WS2-1,1Mo13W16Te26S32-1,12.68844521882307,12.68846516102204,24.77605741337658,90.0,90.0,119.99939421544697
0.291,13.898,87,0.022,6.897,1MoS2-1,1WTe2-1,1W13Mo16Te26S32-1,12.666525204267122,12.666531631541977,24.7781218191606,90.0,90.0,119.99998101801012
0.72,13.897,116,0.402,8.869,2InTe-1,2InS-1,2Te13S16In29-1,15.586995159988131,15.58709264819529,28.710246209022735,90.0,90.0,119.99949151644917
0.689,13.898,116,0.256,8.869,2InTe-1,2InS-2,2Te13S16In29-2,15.610047676513826,15.6100757990411,28.712787399557353,90.0,90.0,119.99991444393676
1.313,13.898,75,0.03,7.378,1MoS2-1,2GaSe-1,1Mo13Ga18Se18S26-1,11.41165312764311,11.411652207416363,25.945779544655558,90.0,90.0,119.9999032511508
1.268,13.898,75,0.201,7.365,1MoS2-1,2GaSe-2,1Mo13Ga18Se18S26-2,11.426287215478757,11.426458170942496,25.919369253879005,90.0,90.0,119.99926976313328
1.579,13.898,75,0.216,7.382,1WS2-1,2GaSe-1,1W13Ga18Se18S26-1,11.432821188550513,11.432884629671106,25.9623747162264,90.0,90.0,119.99965786909625
1.498,13.898,75,0.018,7.368,1WS2-1,2GaSe-2,1W13Ga18Se18S26-2,11.447280944538274,11.447389914694483,25.935964425449846,90.0,90.0,119.99970692334423
1.626,9.519,96,0.737,6.346,1MoS2-1,1CdCl2-1,1Cd13Mo19Cl26S38-1,13.832340086298116,13.833401097892013,24.03565425389834,90.0,90.0,119.98747729293073
0.957,3.005,102,0.272,7.446,1MoTe2-1,1CaI2-1,1Ca13Mo21I26Te42-1,16.11965637192598,16.119716750192815,25.198830300033823,90.0,90.0,119.99762337006982
0.789,3.004,102,0.303,7.455,1WTe2-1,1CaI2-1,1Ca13W21I26Te42-1,16.114443973494318,16.115086967068724,25.21748987738868,90.0,90.0,119.99824986953362
0.853,3.006,102,0.653,7.467,1MoTe2-1,1SnI2-1,1Sn13Mo21I26Te42-1,16.137644311182502,16.13792403158617,25.375643557545963,90.0,90.0,119.99475480846417
0.504,3.008,102,0.691,7.477,1WTe2-1,1SnI2-1,1Sn13W21I26Te42-1,16.131140593519856,16.131200213615003,25.394303134900817,90.0,90.0,119.99977144174534
0.442,16.098,87,0.947,7.344,1MoTe2-1,2ClPt-1,1Mo13Cl24Pt24Te26-1,12.552461368501044,12.553658088692917,25.848033886296374,90.0,90.0,119.99442280083595
0.824,16.102,87,0.291,7.743,1MoTe2-1,2GaS-2,1Mo13Ga24S24Te26-1,12.636115262806479,12.63611587270986,26.263772780230454,90.0,90.0,119.99952241699191
0.877,16.102,87,0.43,7.752,1MoTe2-1,2GaS-1,1Mo13Ga24S24Te26-2,12.618750236637824,12.618767253306686,26.276690377301883,90.0,90.0,119.99989087569277
0.949,16.102,87,0.215,7.174,1PtSe2-1,2InS-1,1Pt13In24S24Se26-1,13.437398674921265,13.437449414062849,25.814701651413714,90.0,90.0,119.9990927024819
0.932,16.102,87,0.337,7.174,1PtSe2-1,2InS-2,1Pt13In24S24Se26-2,13.438790978014886,13.439044743339771,25.81724284194833,90.0,90.0,119.9986077882258
0.157,16.101,87,0.871,7.346,1WTe2-1,2ClPt-1,1W13Cl24Pt24Te26-1,12.558736803569602,12.55895055399983,25.866693463651234,90.0,90.0,119.99667290497679
0.496,16.102,87,0.278,7.75,1WTe2-1,2GaS-2,1W13Ga24S24Te26-1,12.634387688432739,12.634392505820983,26.282432357585307,90.0,90.0,119.99937639534855
0.551,16.102,87,0.416,7.756,1WTe2-1,2GaS-1,1W13Ga24S24Te26-2,12.617066201091875,12.61706167220676,26.295349954656743,90.0,90.0,119.99990155052741
1.272,11.236,222,0.921,6.946,1WSe2-1,1ZnI2-1,2Zn13W24I26Se48-1,13.180216993012918,34.33125796239421,24.63988444314259,90.0,90.0,95.362500417527
1.033,13.891,89,0.774,5.549,1BN-1,1MoTe2-1,1Mo13B25N25Te26-1,12.574504841926295,12.575170365239769,21.624945148406244,90.0,90.0,119.99820595154571
0.871,13.893,89,0.723,5.553,1BN-1,1WTe2-1,1W13B25N25Te26-1,12.57750714246908,12.577510430694963,21.643604725761104,90.0,90.0,119.99997223052503
0.949,13.888,114,0.812,6.646,1MoS2-1,1PbBr2-1,1Pb13Mo25Br26S50-1,15.854911734552608,15.855311905117539,24.52522838334765,90.0,90.0,119.9990786599135
0.482,13.9,114,0.303,7.167,1MoSe2-1,1PbI2-1,1Pb13Mo25I26Se50-1,16.48851143685806,16.48857553323437,25.14719127541089,90.0,90.0,119.99976069679366
0.594,13.888,114,0.597,6.659,1WS2-1,1PbBr2-1,1Pb13W25Br26S50-1,15.889372503611494,15.889488424347034,24.54182355491849,90.0,90.0,119.99966319233552
0.109,13.901,114,0.371,7.186,1WSe2-1,1PbI2-1,1Pb13W25I26Se50-1,16.477255873820475,16.477264959628336,25.171060259632092,90.0,90.0,119.99990788453717
1.999,11.393,113,0.528,5.368,1BN-1,1GeI2-1,1Ge13I26B37N37-1,15.273365773000222,15.273365303382597,21.516879605939714,90.0,90.0,119.99999804157355
0.0,3.005,81,0.715,5.009,2C-1,1MoS2-1,1Mo13S26C42-1,11.333369756278547,11.333501677322367,21.134517125652955,90.0,90.0,119.99782350963838
0.001,3.002,81,0.885,4.997,2C-1,1WS2-1,1W13S26C42-1,11.343801721599363,11.343965720829873,21.151112297223797,90.0,90.0,119.9990000205373
0.937,3.002,123,0.156,7.465,2ClPt-1,1PbI2-1,1Pb13I26Cl42Pt42-1,16.51285879443094,16.513952004887983,26.02230801743834,90.0,90.0,119.99520016004816
1.194,6.313,125,0.457,5.588,1BN-1,1PbI2-1,1Pb13I26B43N43-1,16.4629795596971,16.4630044194488,21.79921927954821,90.0,90.0,119.99987178944204
0.972,13.898,139,0.014,6.1,1MoTe2-1,2CH-1,1Mo13Te26C50H50-1,12.67458081853781,12.674579704263808,24.30424536483273,90.0,90.0,119.9999387042504
0.809,13.898,139,0.028,6.102,1WTe2-1,2CH-1,1W13Te26C50H50-1,12.672833682324864,12.672831472665488,24.32290494218759,90.0,90.0,119.99989245437212
0.001,16.112,93,0.896,5.514,2C-1,1MoTe2-1,1Mo13Te26C54-1,12.784916305507831,12.785779909903294,21.6249451806597,90.0,90.0,119.9973365518714
0.0,16.101,93,0.885,5.513,2C-1,1WTe2-1,1W13Te26C54-1,12.780890106954491,12.781077736890078,21.643604758014565,90.0,90.0,119.9994474753902
0.0,11.387,113,0.116,5.388,2C-1,1MgI2-1,1Mg13I26C74-1,15.002970694406848,15.00297731923383,21.372758202788614,90.0,90.0,119.99982069315087
0.261,6.312,125,0.41,5.554,2C-1,1SnI2-1,1Sn13I26C86-1,16.176829287191346,16.176824750689462,21.750698441393176,90.0,90.0,119.99986051666669
0.831,4.303,160,0.83,5.998,1MoS2-1,2HSi-1,2Mo14H19Si19S28-1,16.808889958383592,16.808905918557016,24.86397043179143,90.0,90.0,119.99759140590557
1.431,4.313,160,0.909,7.454,1MoS2-1,2InS-2,2Mo14In19S47-1,16.81281658203108,16.81306846676686,26.298410226472093,90.0,90.0,119.99782492567084
1.147,4.305,160,0.732,7.48,1WS2-1,2InS-2,2W14In19S47-1,16.842944030202478,16.843034317150817,26.315005398042935,90.0,90.0,119.99963443842768
0.773,4.304,160,0.769,7.767,1WSe2-1,2InSe-1,2W14In19Se47-1,17.487325459648243,17.48734433885396,26.727673638982388,90.0,90.0,119.99967985286227
0.459,3.004,240,0.024,6.37,2HSi-1,1PbI2-1,2Pb14I28H39Si39-1,24.27795465729952,24.27795465924036,25.528672617940146,90.0,90.0,119.99999183254694
0.47,-0.009,123,0.94,6.433,1MoS2-1,1AsClTe-1,1As16Cl16Te16Mo25S50-1,15.778513719638616,15.778580882852092,24.302802842817677,90.0,90.0,119.9974900887833
1.032,16.093,126,0.871,5.093,1BN-1,1AsBrTe-1,1As16Br16Te16B39N39-1,15.692581715621872,15.692587381317276,21.325520303954647,90.0,90.0,119.99989686242053
1.139,23.413,140,0.596,7.922,2ClPt-1,2InS-1,2In16S16Cl19Pt19-1,15.640478989216245,15.641211064402405,27.384440680428106,90.0,90.0,119.99495917427313
1.122,23.412,140,0.59,7.921,2ClPt-1,2InS-2,2In16S16Cl19Pt19-2,15.660589032729902,15.660710208626803,27.386981870962725,90.0,90.0,119.99419061991513
0.0,16.104,142,0.842,4.585,2C-1,2HSi-1,2H16Si16C39-1,15.422858809747991,15.422932551426609,21.729453370645395,90.0,90.0,119.99952516627701
0.0,16.103,142,0.771,6.029,2C-1,2InS-1,2In16S16C39-1,15.429521619936457,15.429579317785103,23.161351974791433,90.0,90.0,119.99919920377522
0.0,16.104,142,0.933,6.033,2C-1,2InS-2,2In16S16C39-2,15.424677592510347,15.424776593583173,23.16389316532606,90.0,90.0,119.99977617883793
0.0,23.413,105,0.645,6.913,1MoTe2-1,1ZrSe2-1,1Zr16Mo19Se32Te38-1,15.223230104810078,15.223233808478025,24.798033161145533,90.0,90.0,119.99990447463205
0.0,23.413,105,0.69,6.917,1WTe2-1,1ZrSe2-1,1Zr16W19Se32Te38-1,15.229997107038818,15.229997313095174,24.816692738500393,90.0,90.0,119.99995075046382
1.279,30.002,129,0.4,7.046,1MoSe2-1,1GeI2-1,1Ge16Mo27I32Se54-1,17.10235901712431,17.102365409683852,24.864851601802393,90.0,90.0,120.0000026599243
1.322,23.415,74,0.838,5.371,1BN-1,2ClPt-1,1Cl18Pt18B19N19-1,10.896701038320813,10.896940425091103,22.22308873789013,90.0,90.0,119.9991251395476
1.936,23.413,74,0.192,5.808,1BN-1,2GaS-2,1Ga18S18B19N19-1,10.932290620296174,10.932299548363856,22.638827631824206,90.0,90.0,119.99966043412655
1.981,23.412,74,0.399,5.809,1BN-1,2GaS-1,1Ga18S18B19N19-2,10.924639171703655,10.924683167218133,22.651745228895642,90.0,90.0,119.99915925383708
0.003,12.521,120,0.701,6.903,1MoTe2-1,1AsClSe-1,1As19Cl19Se19Mo21Te42-1,16.17360301337162,16.17375889819621,24.721986667889695,90.0,90.0,119.9950201126222
0.278,12.52,120,0.753,6.944,1WTe2-1,1AsClSe-1,1As19Cl19Se19W21Te42-1,16.164832816285816,16.164830675717916,24.740646245244555,90.0,90.0,119.99985906190513
0.151,12.52,120,0.048,6.171,1PtSe2-1,1AsClTe-1,1As19Cl19Te19Pt21Se42-1,17.043338669214656,17.043338837487624,23.82163545829392,90.0,90.0,119.999928164323
1.199,6.578,138,0.725,6.469,1MoS2-1,1AsClSe-1,1As19Cl19Se19Mo27S54-1,16.404737390628437,16.40524060886378,24.23155861288295,90.0,90.0,119.99815147337729
0.126,6.574,138,0.933,6.453,1WS2-1,1AsClSe-1,1As19Cl19Se19W27S54-1,16.43908496362015,16.439118263300482,24.24815378445379,90.0,90.0,119.99944363461972
0.149,23.413,121,0.306,7.906,2InTe-1,1ClSbSe-1,1Cl19Sb19Se19In32Te32-1,17.41501819626684,17.41502928081314,26.811097246583543,90.0,90.0,119.99997898685493
0.789,0.12,174,0.894,5.8,1WO2-1,1ClSbSe-1,1Cl19Sb19Se19W39O78-1,17.6239016426514,17.623922767025167,23.739383973234524,90.0,90.0,119.99992719517891
0.0,6.584,153,0.264,4.969,2C-1,1AsClTe-1,1As19Cl19Te19C96-1,17.079970447262674,17.080012900260453,21.168285781671642,90.0,90.0,119.99961420465044
0.0,6.588,249,0.449,5.641,2CH-1,1ClSbSe-1,1Cl19Sb19Se19C96H96-1,17.545812600406215,17.546037073097114,23.941503196525268,90.0,90.0,119.99862785041199
